Datetime,PM2.5
2019-02-01 14:00:00,129.14
2017-04-18 23:00:00,175.67
2018-12-05 04:00:00,226.2
2018-10-22 12:00:00,124.62
2018-09-14 09:00:00,27.57
2017-07-19 01:00:00,47.5
2015-12-19 17:00:00,71.17
2020-03-01 05:00:00,17.39
2019-02-02 10:00:00,139.34
2018-01-16 14:00:00,99.97
2016-01-14 11:00:00,202.96
2018-03-15 07:00:00,145.4
2016-09-10 23:00:00,64.96
2017-09-13 22:00:00,47.23
2020-02-01 19:00:00,75.44
2018-11-24 20:00:00,100.42
2019-10-01 04:00:00,27.13
2018-09-21 02:00:00,77.32
2019-08-21 15:00:00,41.07
2015-04-30 09:00:00,79.07
2016-10-30 15:00:00,146.83
2015-07-15 01:00:00,48.37
2019-02-03 14:00:00,138.39
2019-04-13 18:00:00,37.51
2019-10-09 21:00:00,83.89
2018-08-06 19:00:00,49.18
2019-06-17 11:00:00,50.31
2017-10-19 14:00:00,106.88
2015-06-28 04:00:00,55.39
2017-11-14 17:00:00,211.48
2015-11-09 18:00:00,113.7
2018-05-31 12:00:00,69.48
2016-11-15 22:00:00,255.75
2019-01-12 02:00:00,435.03
2015-11-30 09:00:00,260.62
2019-09-05 14:00:00,32.7
2018-05-09 16:00:00,77.23
2015-12-10 13:00:00,177.64
2018-05-10 05:00:00,89.48
2018-11-01 00:00:00,291.71
2016-11-14 02:00:00,226.93
2019-08-02 19:00:00,39.91
2018-05-17 20:00:00,118.85
2019-09-10 22:00:00,83.4
2019-01-25 01:00:00,65.9
2020-05-16 02:00:00,172.13
2016-05-23 22:00:00,43.51
2017-02-24 20:00:00,546.71
2015-08-25 22:00:00,61.4
2018-12-23 15:00:00,216.02
2019-01-23 05:00:00,75.99
2017-07-08 19:00:00,58.5
2020-03-14 02:00:00,33.12
2015-04-16 13:00:00,67.55
2016-03-31 13:00:00,76.84
2015-03-08 17:00:00,64.97
2015-04-18 13:00:00,107.71
2015-08-12 18:00:00,47.16
2015-08-19 00:00:00,39.66
2018-03-07 22:00:00,90.81
2017-07-29 00:00:00,34.0
2017-11-27 10:00:00,198.07
2020-06-06 03:00:00,29.92
2019-11-09 02:00:00,169.99
2015-09-22 21:00:00,35.82
2015-04-18 08:00:00,160.64
2017-03-29 03:00:00,173.75
2017-06-03 15:00:00,72.72
2015-12-18 05:00:00,162.11
2016-04-07 21:00:00,80.13
2016-09-29 02:00:00,133.83
2019-08-15 00:00:00,55.1
2018-09-14 00:00:00,34.17
2015-05-22 14:00:00,59.17
2019-03-03 09:00:00,62.7
2017-10-04 04:00:00,76.77
2017-05-17 05:00:00,63.5
2020-06-14 17:00:00,51.35
2018-05-23 07:00:00,121.86
2015-06-27 01:00:00,47.41
2017-10-02 01:00:00,59.54
2017-05-09 17:00:00,79.25
2015-01-08 00:00:00,230.36
2016-09-11 10:00:00,29.46
2020-03-07 20:00:00,67.82
2016-08-24 17:00:00,54.35
2017-01-11 03:00:00,176.77
2015-04-24 19:00:00,86.36
2017-11-23 01:00:00,236.92
2017-09-03 08:00:00,21.48
2017-07-26 15:00:00,16.0
2015-08-06 00:00:00,88.93
2019-06-20 21:00:00,74.78
2018-10-27 10:00:00,264.0
2018-10-19 00:00:00,148.7
2020-06-08 22:00:00,64.08
2016-05-13 11:00:00,107.17
